tracker_model,target_model,tracker_wins,target_wins,draws
tracker18.pth,target7.pth,112,88,0
tracker18.pth,target9.pth,169,31,0
tracker18.pth,target11.pth,79,121,0
tracker18.pth,target13.pth,93,107,0
tracker18.pth,target15.pth,60,140,0
tracker18.pth,target17.pth,181,19,0
tracker18.pth,target19.pth,37,163,0
tracker18.pth,target21.pth,52,148,0
tracker18.pth,target23.pth,72,128,0
tracker18.pth,target25.pth,69,131,0
tracker18.pth,target27.pth,71,129,0
tracker18.pth,target29.pth,47,153,0
tracker20.pth,target1.pth,146,54,0
tracker20.pth,target3.pth,154,46,0
tracker20.pth,target5.pth,70,130,0
tracker20.pth,target7.pth,180,20,0
tracker20.pth,target9.pth,95,105,0
tracker20.pth,target11.pth,182,18,0
tracker20.pth,target13.pth,79,121,0
tracker20.pth,target15.pth,174,26,0
tracker20.pth,target17.pth,101,99,0
tracker20.pth,target19.pth,71,129,0
tracker20.pth,target21.pth,44,156,0
tracker20.pth,target23.pth,154,46,0
tracker20.pth,target25.pth,48,152,0
tracker20.pth,target27.pth,120,80,0
tracker20.pth,target29.pth,108,92,0
tracker22.pth,target1.pth,147,53,0
tracker22.pth,target3.pth,122,78,0
tracker22.pth,target5.pth,64,136,0
tracker22.pth,target7.pth,151,49,0
tracker22.pth,target9.pth,88,112,0
tracker22.pth,target11.pth,93,107,0
tracker22.pth,target13.pth,98,102,0
tracker22.pth,target15.pth,104,96,0
tracker22.pth,target17.pth,98,102,0
tracker22.pth,target19.pth,90,110,0
tracker22.pth,target21.pth,185,15,0
tracker22.pth,target23.pth,18,182,0
tracker22.pth,target25.pth,106,94,0
tracker22.pth,target27.pth,81,119,0
tracker22.pth,target29.pth,23,177,0
tracker24.pth,target1.pth,161,39,0
tracker24.pth,target3.pth,111,89,0
tracker24.pth,target5.pth,144,56,0
tracker24.pth,target7.pth,144,56,0
tracker24.pth,target9.pth,134,66,0
tracker24.pth,target11.pth,169,31,0
tracker24.pth,target13.pth,119,81,0
tracker24.pth,target15.pth,171,29,0
tracker24.pth,target17.pth,126,74,0
tracker24.pth,target19.pth,93,107,0
tracker24.pth,target21.pth,64,136,0
tracker24.pth,target23.pth,189,11,0
tracker24.pth,target25.pth,21,179,0
tracker24.pth,target27.pth,79,121,0
tracker24.pth,target29.pth,56,144,0
tracker26.pth,target1.pth,137,63,0
tracker26.pth,target3.pth,193,7,0
tracker26.pth,target5.pth,62,138,0
tracker26.pth,target7.pth,189,11,0
tracker26.pth,target9.pth,29,171,0
tracker26.pth,target11.pth,179,21,0
tracker26.pth,target13.pth,52,148,0
tracker26.pth,target15.pth,185,15,0
tracker26.pth,target17.pth,40,160,0
tracker26.pth,target19.pth,47,153,0
tracker26.pth,target21.pth,150,50,0
tracker26.pth,target23.pth,139,61,0
tracker26.pth,target25.pth,181,19,0
tracker26.pth,target27.pth,44,156,0
tracker26.pth,target29.pth,139,61,0
tracker28.pth,target1.pth,136,64,0
tracker28.pth,target3.pth,159,41,0
tracker28.pth,target5.pth,52,148,0
tracker28.pth,target7.pth,166,34,0
tracker28.pth,target9.pth,122,78,0
tracker28.pth,target11.pth,154,46,0
tracker28.pth,target13.pth,123,77,0
tracker28.pth,target15.pth,129,71,0
tracker28.pth,target17.pth,45,155,0
tracker28.pth,target19.pth,84,116,0
tracker28.pth,target21.pth,157,43,0
tracker28.pth,target23.pth,137,63,0
tracker28.pth,target25.pth,144,56,0
tracker28.pth,target27.pth,136,64,0
tracker28.pth,target29.pth,43,157,0
