tracker_model,target_model,tracker_wins,target_wins,draws
tracker0.pth,target1.pth,1,199,0
tracker0.pth,target3.pth,70,130,0
tracker0.pth,target5.pth,170,30,0
tracker0.pth,target7.pth,78,122,0
tracker0.pth,target9.pth,72,128,0
tracker0.pth,target11.pth,16,184,0
tracker0.pth,target13.pth,37,163,0
tracker0.pth,target15.pth,150,50,0
tracker0.pth,target17.pth,85,115,0
tracker0.pth,target19.pth,118,82,0
tracker0.pth,target21.pth,74,126,0
tracker0.pth,target23.pth,125,75,0
tracker0.pth,target25.pth,67,133,0
tracker0.pth,target27.pth,58,142,0
tracker0.pth,target29.pth,73,127,0
tracker0.pth,target31.pth,44,156,0
tracker0.pth,target33.pth,30,170,0
tracker0.pth,target35.pth,15,185,0
tracker0.pth,target37.pth,36,164,0
tracker0.pth,target39.pth,86,114,0
tracker0.pth,target41.pth,116,84,0
tracker0.pth,target43.pth,75,125,0
tracker0.pth,target45.pth,61,139,0
tracker0.pth,target47.pth,61,139,0
tracker0.pth,target49.pth,99,101,0
tracker0.pth,target51.pth,100,100,0
tracker0.pth,target53.pth,84,116,0
tracker0.pth,target55.pth,133,67,0
tracker0.pth,target57.pth,60,140,0
tracker0.pth,target59.pth,47,153,0
tracker2.pth,target1.pth,199,1,0
tracker2.pth,target3.pth,40,160,0
tracker2.pth,target5.pth,131,69,0
tracker2.pth,target7.pth,133,67,0
tracker2.pth,target9.pth,80,120,0
tracker2.pth,target11.pth,156,44,0
tracker2.pth,target13.pth,150,50,0
tracker2.pth,target15.pth,62,138,0
tracker2.pth,target17.pth,30,170,0
tracker2.pth,target19.pth,109,91,0
tracker2.pth,target21.pth,75,125,0
tracker2.pth,target23.pth,97,103,0
tracker2.pth,target25.pth,82,118,0
tracker2.pth,target27.pth,95,105,0
tracker2.pth,target29.pth,99,101,0
tracker2.pth,target31.pth,95,105,0
tracker2.pth,target33.pth,102,98,0
tracker2.pth,target35.pth,183,17,0
tracker2.pth,target37.pth,141,59,0
tracker2.pth,target39.pth,30,170,0
tracker2.pth,target41.pth,142,58,0
tracker2.pth,target43.pth,103,97,0
tracker2.pth,target45.pth,133,67,0
tracker2.pth,target47.pth,130,70,0
tracker2.pth,target49.pth,96,104,0
tracker2.pth,target51.pth,63,137,0
tracker2.pth,target53.pth,100,100,0
tracker2.pth,target55.pth,102,98,0
tracker2.pth,target57.pth,134,66,0
tracker2.pth,target59.pth,147,53,0
tracker4.pth,target1.pth,54,146,0
tracker4.pth,target3.pth,194,6,0
tracker4.pth,target5.pth,200,0,0
tracker4.pth,target7.pth,7,193,0
tracker4.pth,target9.pth,91,109,0
tracker4.pth,target11.pth,48,152,0
tracker4.pth,target13.pth,29,171,0
tracker4.pth,target15.pth,11,189,0
tracker4.pth,target17.pth,28,172,0
tracker4.pth,target19.pth,16,184,0
tracker4.pth,target21.pth,2,198,0
tracker4.pth,target23.pth,9,191,0
tracker4.pth,target25.pth,23,177,0
tracker4.pth,target27.pth,47,153,0
tracker4.pth,target29.pth,117,83,0
tracker4.pth,target31.pth,44,156,0
tracker4.pth,target33.pth,72,128,0
tracker4.pth,target35.pth,110,90,0
tracker4.pth,target37.pth,165,35,0
tracker4.pth,target39.pth,173,27,0
tracker4.pth,target41.pth,181,19,0
tracker4.pth,target43.pth,96,104,0
tracker4.pth,target45.pth,89,111,0
tracker4.pth,target47.pth,34,166,0
tracker4.pth,target49.pth,84,116,0
tracker4.pth,target51.pth,73,127,0
tracker4.pth,target53.pth,28,172,0
tracker4.pth,target55.pth,33,167,0
tracker4.pth,target57.pth,141,59,0
tracker4.pth,target59.pth,114,86,0
tracker6.pth,target1.pth,178,22,0
tracker6.pth,target3.pth,115,85,0
tracker6.pth,target5.pth,194,6,0
tracker6.pth,target7.pth,14,186,0
tracker6.pth,target9.pth,110,90,0
tracker6.pth,target11.pth,105,95,0
tracker6.pth,target13.pth,177,23,0
tracker6.pth,target15.pth,120,80,0
tracker6.pth,target17.pth,75,125,0
tracker6.pth,target19.pth,92,108,0
tracker6.pth,target21.pth,114,86,0
tracker6.pth,target23.pth,76,124,0
tracker6.pth,target25.pth,125,75,0
tracker6.pth,target27.pth,126,74,0
tracker6.pth,target29.pth,163,37,0
tracker6.pth,target31.pth,142,58,0
tracker6.pth,target33.pth,177,23,0
tracker6.pth,target35.pth,142,58,0
tracker6.pth,target37.pth,170,30,0
tracker6.pth,target39.pth,139,61,0
tracker6.pth,target41.pth,165,35,0
tracker6.pth,target43.pth,144,56,0
tracker6.pth,target45.pth,172,28,0
tracker6.pth,target47.pth,178,22,0
tracker6.pth,target49.pth,168,32,0
tracker6.pth,target51.pth,170,30,0
tracker6.pth,target53.pth,102,98,0
tracker6.pth,target55.pth,98,102,0
tracker6.pth,target57.pth,146,54,0
tracker6.pth,target59.pth,149,51,0
tracker8.pth,target1.pth,177,23,0
tracker8.pth,target3.pth,131,69,0
tracker8.pth,target5.pth,133,67,0
tracker8.pth,target7.pth,199,1,0
tracker8.pth,target9.pth,1,199,0
tracker8.pth,target11.pth,108,92,0
tracker8.pth,target13.pth,156,44,0
tracker8.pth,target15.pth,15,185,0
tracker8.pth,target17.pth,19,181,0
tracker8.pth,target19.pth,52,148,0
tracker8.pth,target21.pth,57,143,0
tracker8.pth,target23.pth,27,173,0
tracker8.pth,target25.pth,24,176,0
tracker8.pth,target27.pth,39,161,0
tracker8.pth,target29.pth,19,181,0
tracker8.pth,target31.pth,18,182,0
tracker8.pth,target33.pth,51,149,0
tracker8.pth,target35.pth,158,42,0
tracker8.pth,target37.pth,152,48,0
tracker8.pth,target39.pth,135,65,0
tracker8.pth,target41.pth,139,61,0
tracker8.pth,target43.pth,131,69,0
tracker8.pth,target45.pth,106,94,0
tracker8.pth,target47.pth,113,87,0
tracker8.pth,target49.pth,62,138,0
tracker8.pth,target51.pth,79,121,0
tracker8.pth,target53.pth,32,168,0
tracker8.pth,target55.pth,46,154,0
tracker8.pth,target57.pth,115,85,0
tracker8.pth,target59.pth,143,57,0
tracker10.pth,target1.pth,126,74,0
tracker10.pth,target3.pth,111,89,0
tracker10.pth,target5.pth,30,170,0
tracker10.pth,target7.pth,198,2,0
