=== Tracker Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
tracker10.pth,4603,6000,0.7671666666666667,0.7671666666666666,0.15
tracker50.pth,4584,6000,0.764,0.7640000000000001,0.14
tracker52.pth,4471,6000,0.7451666666666666,0.7451666666666668,0.035
tracker46.pth,4332,6000,0.722,0.7219999999999999,0.03
tracker14.pth,4108,6000,0.6846666666666666,0.6846666666666665,0.03
tracker48.pth,4101,6000,0.6835,0.6835,0.01
tracker6.pth,4046,6000,0.6743333333333333,0.6743333333333333,0.07
tracker44.pth,4030,6000,0.6716666666666666,0.6716666666666667,0.035
tracker30.pth,3847,6000,0.6411666666666667,0.6411666666666668,0.035
tracker28.pth,3794,6000,0.6323333333333333,0.6323333333333333,0.155
tracker34.pth,3623,6000,0.6038333333333333,0.6038333333333333,0.125
tracker32.pth,3598,6000,0.5996666666666667,0.5996666666666665,0.03
tracker60.pth,3559,6000,0.5931666666666666,0.5931666666666667,0.185
tracker56.pth,3471,6000,0.5785,0.5784999999999999,0.02
tracker12.pth,3394,6000,0.5656666666666667,0.5656666666666668,0.14
tracker2.pth,3239,6000,0.5398333333333334,0.5398333333333334,0.15
tracker58.pth,3190,6000,0.5316666666666666,0.5316666666666667,0.095
tracker54.pth,3186,6000,0.531,0.5310000000000001,0.01
tracker22.pth,3171,6000,0.5285,0.5285,0.125
tracker24.pth,3095,6000,0.5158333333333334,0.5158333333333335,0.155
tracker20.pth,3091,6000,0.5151666666666667,0.5151666666666668,0.11
tracker16.pth,3068,6000,0.5113333333333333,0.5113333333333333,0.03
tracker18.pth,3044,6000,0.5073333333333333,0.5073333333333333,0.085
tracker36.pth,2909,6000,0.48483333333333334,0.4848333333333333,0.035
tracker38.pth,2849,6000,0.47483333333333333,0.4748333333333335,0.12
tracker42.pth,2828,6000,0.4713333333333333,0.4713333333333332,0.14
tracker26.pth,2732,6000,0.4553333333333333,0.4553333333333333,0.02
tracker8.pth,2637,6000,0.4395,0.43949999999999995,0.005
tracker40.pth,2449,6000,0.4081666666666667,0.4081666666666666,0.045
tracker4.pth,2313,6000,0.3855,0.38550000000000006,0.01
tracker0.pth,2241,6000,0.3735,0.37349999999999994,0.005

=== Target Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
target3.pth,3448,6200,0.5561290322580645,0.5561290322580644,0.03
target39.pth,3436,6200,0.5541935483870968,0.5541935483870967,0.03
target41.pth,3291,6200,0.5308064516129032,0.5308064516129032,0.065
target27.pth,3210,6200,0.5177419354838709,0.517741935483871,0.05
target17.pth,3137,6200,0.5059677419354839,0.5059677419354839,0.01
target31.pth,3091,6200,0.4985483870967742,0.498548387096774,0.03
target1.pth,3084,6200,0.4974193548387097,0.49741935483870986,0.005
target33.pth,2952,6200,0.4761290322580645,0.4761290322580645,0.02
target55.pth,2937,6200,0.4737096774193548,0.47370967741935494,0.065
target21.pth,2923,6200,0.4714516129032258,0.47145161290322574,0.03
target37.pth,2883,6200,0.465,0.465,0.04
target25.pth,2877,6200,0.46403225806451615,0.4640322580645162,0.015
target53.pth,2840,6200,0.45806451612903226,0.45806451612903226,0.0
target23.pth,2818,6200,0.4545161290322581,0.4545161290322581,0.01
target9.pth,2780,6200,0.4483870967741935,0.44838709677419347,0.0
target5.pth,2743,6200,0.4424193548387097,0.44241935483870976,0.0
target51.pth,2690,6200,0.4338709677419355,0.43387096774193545,0.015
target49.pth,2648,6200,0.4270967741935484,0.4270967741935484,0.06
target15.pth,2591,6200,0.4179032258064516,0.41790322580645156,0.0
target19.pth,2575,6200,0.4153225806451613,0.41532258064516137,0.015
target59.pth,2481,6200,0.40016129032258063,0.4001612903225806,0.25
target45.pth,2443,6200,0.39403225806451614,0.3940322580645162,0.05
target57.pth,2388,6200,0.3851612903225806,0.38516129032258073,0.015
target29.pth,2335,6200,0.37661290322580643,0.37661290322580654,0.02
target43.pth,2298,6200,0.3706451612903226,0.3706451612903226,0.08
target47.pth,2198,6200,0.35451612903225804,0.35451612903225815,0.0
target11.pth,2026,6200,0.3267741935483871,0.326774193548387,0.055
target35.pth,2002,6200,0.3229032258064516,0.3229032258064516,0.075
target13.pth,1823,6200,0.2940322580645161,0.2940322580645161,0.0
target7.pth,1449,6200,0.23370967741935483,0.23370967741935478,0.0
