tracker_model,target_model,tracker_wins,target_wins,draws
tracker0.pth,target1.pth,14,186,0
tracker0.pth,target3.pth,1,199,0
tracker0.pth,target5.pth,1,199,0
tracker0.pth,target7.pth,6,194,0
tracker0.pth,target9.pth,59,141,0
tracker0.pth,target11.pth,165,35,0
tracker0.pth,target13.pth,51,149,0
tracker0.pth,target15.pth,33,167,0
tracker0.pth,target17.pth,19,181,0
tracker0.pth,target19.pth,19,181,0
tracker0.pth,target21.pth,39,161,0
tracker0.pth,target23.pth,57,143,0
tracker0.pth,target25.pth,110,90,0
tracker0.pth,target27.pth,56,144,0
tracker0.pth,target29.pth,60,140,0
tracker0.pth,target31.pth,52,148,0
tracker0.pth,target33.pth,51,149,0
tracker0.pth,target35.pth,44,156,0
tracker0.pth,target37.pth,19,181,0
tracker0.pth,target39.pth,25,175,0
tracker0.pth,target41.pth,50,150,0
tracker0.pth,target43.pth,48,152,0
tracker0.pth,target45.pth,14,186,0
tracker0.pth,target47.pth,17,183,0
tracker0.pth,target49.pth,36,164,0
tracker0.pth,target51.pth,23,177,0
tracker0.pth,target53.pth,149,51,0
tracker0.pth,target55.pth,39,161,0
tracker0.pth,target57.pth,106,94,0
tracker0.pth,target59.pth,99,101,0
tracker0.pth,target61.pth,40,160,0
tracker0.pth,target63.pth,14,186,0
tracker0.pth,target65.pth,147,53,0
tracker0.pth,target67.pth,51,149,0
tracker0.pth,target69.pth,39,161,0
tracker0.pth,target71.pth,70,130,0
tracker0.pth,target73.pth,27,173,0
tracker0.pth,target75.pth,78,122,0
tracker0.pth,target77.pth,21,179,0
tracker0.pth,target79.pth,52,148,0
tracker0.pth,target81.pth,80,120,0
tracker0.pth,target83.pth,51,149,0
tracker0.pth,target85.pth,39,161,0
tracker0.pth,target87.pth,17,183,0
tracker0.pth,target89.pth,14,186,0
tracker0.pth,target91.pth,32,168,0
tracker0.pth,target93.pth,21,179,0
tracker0.pth,target95.pth,98,102,0
tracker0.pth,target97.pth,115,85,0
tracker0.pth,target99.pth,98,102,0
tracker0.pth,target101.pth,81,119,0
tracker0.pth,target103.pth,54,146,0
tracker0.pth,target105.pth,25,175,0
tracker0.pth,target107.pth,41,159,0
tracker0.pth,target109.pth,22,178,0
tracker0.pth,target111.pth,63,137,0
tracker0.pth,target113.pth,50,150,0
tracker0.pth,target115.pth,75,125,0
tracker0.pth,target117.pth,125,75,0
tracker0.pth,target119.pth,84,116,0
tracker0.pth,target121.pth,50,150,0
tracker0.pth,target123.pth,51,149,0
tracker0.pth,target125.pth,109,91,0
tracker0.pth,target127.pth,99,101,0
tracker0.pth,target129.pth,131,69,0
tracker0.pth,target131.pth,80,120,0
tracker0.pth,target133.pth,91,109,0
tracker0.pth,target135.pth,13,187,0
tracker0.pth,target137.pth,22,178,0
tracker0.pth,target139.pth,28,172,0
tracker0.pth,target141.pth,45,155,0
tracker0.pth,target143.pth,78,122,0
tracker0.pth,target145.pth,53,147,0
tracker0.pth,target147.pth,99,101,0
tracker0.pth,target149.pth,93,107,0
tracker0.pth,target151.pth,70,130,0
tracker0.pth,target153.pth,21,179,0
tracker0.pth,target155.pth,66,134,0
tracker0.pth,target157.pth,55,145,0
tracker0.pth,target159.pth,41,159,0
tracker0.pth,target161.pth,27,173,0
tracker0.pth,target163.pth,23,177,0
tracker0.pth,target165.pth,15,185,0
tracker0.pth,target167.pth,12,188,0
tracker0.pth,target169.pth,78,122,0
tracker0.pth,target171.pth,30,170,0
tracker0.pth,target173.pth,57,143,0
tracker0.pth,target175.pth,55,145,0
tracker0.pth,target177.pth,55,145,0
tracker0.pth,target179.pth,113,87,0
tracker0.pth,target181.pth,64,136,0
tracker0.pth,target183.pth,35,165,0
tracker0.pth,target185.pth,72,128,0
tracker0.pth,target187.pth,103,97,0
tracker0.pth,target189.pth,69,131,0
tracker0.pth,target191.pth,36,164,0
tracker0.pth,target193.pth,49,151,0
tracker0.pth,target195.pth,27,173,0
tracker0.pth,target197.pth,3,197,0
tracker0.pth,target199.pth,10,190,0
tracker0.pth,target201.pth,34,166,0
tracker0.pth,target203.pth,48,152,0
tracker0.pth,target205.pth,57,143,0
tracker0.pth,target207.pth,60,140,0
tracker0.pth,target209.pth,91,109,0
tracker0.pth,target211.pth,126,74,0
tracker0.pth,target213.pth,13,187,0
tracker0.pth,target215.pth,27,173,0
tracker0.pth,target217.pth,62,138,0
tracker0.pth,target219.pth,6,194,0
tracker0.pth,target221.pth,54,146,0
tracker0.pth,target223.pth,16,184,0
tracker0.pth,target225.pth,15,185,0
tracker0.pth,target227.pth,46,154,0
tracker0.pth,target229.pth,38,162,0
tracker0.pth,target231.pth,63,137,0
tracker0.pth,target233.pth,72,128,0
tracker0.pth,target235.pth,20,180,0
tracker0.pth,target237.pth,39,161,0
tracker0.pth,target239.pth,37,163,0
tracker0.pth,target241.pth,40,160,0
tracker0.pth,target243.pth,40,160,0
tracker0.pth,target245.pth,13,187,0
tracker0.pth,target247.pth,36,164,0
tracker0.pth,target249.pth,42,158,0
tracker0.pth,target251.pth,26,174,0
tracker0.pth,target253.pth,16,184,0
tracker0.pth,target255.pth,8,192,0
tracker0.pth,target257.pth,28,172,0
tracker0.pth,target259.pth,19,181,0
tracker0.pth,target261.pth,148,52,0
tracker0.pth,target263.pth,89,111,0
tracker0.pth,target265.pth,102,98,0
tracker0.pth,target267.pth,142,58,0
tracker0.pth,target269.pth,18,182,0
tracker0.pth,target271.pth,26,174,0
tracker0.pth,target273.pth,19,181,0
tracker0.pth,target275.pth,15,185,0
tracker2.pth,target1.pth,189,11,0
tracker2.pth,target3.pth,195,5,0
tracker2.pth,target5.pth,127,73,0
tracker2.pth,target7.pth,162,38,0
tracker2.pth,target9.pth,163,37,0
tracker2.pth,target11.pth,160,40,0
tracker2.pth,target13.pth,177,23,0
tracker2.pth,target15.pth,142,58,0
tracker2.pth,target17.pth,106,94,0
tracker2.pth,target19.pth,136,64,0
tracker2.pth,target21.pth,139,61,0
tracker2.pth,target23.pth,123,77,0
tracker2.pth,target25.pth,194,6,0
tracker2.pth,target27.pth,167,33,0
tracker2.pth,target29.pth,147,53,0
tracker2.pth,target31.pth,130,70,0
tracker2.pth,target33.pth,138,62,0
tracker2.pth,target35.pth,96,104,0
tracker2.pth,target37.pth,119,81,0
tracker2.pth,target39.pth,127,73,0
tracker2.pth,target41.pth,139,61,0
tracker2.pth,target43.pth,133,67,0
tracker2.pth,target45.pth,106,94,0
tracker2.pth,target47.pth,128,72,0
tracker2.pth,target49.pth,133,67,0
tracker2.pth,target51.pth,149,51,0
tracker2.pth,target53.pth,144,56,0
