=== Tracker Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
tracker2.pth,20673,27600,0.7490217391304348,0.7490217391304348,0.325
tracker24.pth,20454,27600,0.7410869565217392,0.7410869565217393,0.29
tracker58.pth,20286,27600,0.735,0.735,0.345
tracker54.pth,20249,27600,0.7336594202898551,0.7336594202898551,0.1
tracker26.pth,20090,27600,0.7278985507246377,0.7278985507246375,0.125
tracker22.pth,20045,27600,0.726268115942029,0.7262681159420288,0.36
tracker152.pth,20010,27600,0.725,0.7249999999999999,0.185
tracker66.pth,19705,27600,0.7139492753623189,0.7139492753623187,0.3
tracker166.pth,19608,27600,0.7104347826086956,0.7104347826086957,0.075
tracker114.pth,19159,27600,0.6941666666666667,0.6941666666666668,0.185
tracker112.pth,18693,27600,0.6772826086956522,0.6772826086956524,0.2
tracker52.pth,18662,27600,0.6761594202898551,0.6761594202898549,0.21
tracker98.pth,18600,27600,0.6739130434782609,0.6739130434782612,0.27
tracker252.pth,18594,27600,0.673695652173913,0.6736956521739128,0.295
tracker34.pth,18387,27600,0.6661956521739131,0.6661956521739133,0.06
tracker270.pth,18262,27600,0.6616666666666666,0.6616666666666668,0.215
tracker90.pth,18243,27600,0.6609782608695652,0.660978260869565,0.195
tracker14.pth,18219,27600,0.6601086956521739,0.660108695652174,0.23
tracker146.pth,18146,27600,0.657463768115942,0.6574637681159426,0.15
tracker6.pth,18119,27600,0.6564855072463768,0.6564855072463771,0.185
tracker28.pth,18108,27600,0.6560869565217391,0.656086956521739,0.355
tracker56.pth,18074,27600,0.6548550724637681,0.6548550724637682,0.08
tracker154.pth,17916,27600,0.6491304347826087,0.6491304347826086,0.22
tracker150.pth,17837,27600,0.6462681159420289,0.6462681159420293,0.21
tracker8.pth,17825,27600,0.6458333333333334,0.6458333333333334,0.29
tracker36.pth,17760,27600,0.6434782608695652,0.6434782608695653,0.15
tracker262.pth,17731,27600,0.6424275362318841,0.6424275362318836,0.145
tracker106.pth,17461,27600,0.6326449275362319,0.6326449275362322,0.13
tracker118.pth,17415,27600,0.6309782608695652,0.6309782608695652,0.15
