=== Tracker Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
tracker46.pth,17331,27600,0.6279347826086956,0.627934782608696,0.19
tracker110.pth,17291,27600,0.6264855072463769,0.6264855072463769,0.035
tracker224.pth,17240,27600,0.6246376811594203,0.6246376811594206,0.03
tracker244.pth,17232,27600,0.6243478260869565,0.6243478260869563,0.195
tracker156.pth,17121,27600,0.6203260869565217,0.6203260869565214,0.23
tracker64.pth,17107,27600,0.6198188405797102,0.61981884057971,0.135
tracker240.pth,16922,27600,0.6131159420289856,0.6131159420289856,0.1
tracker268.pth,16894,27600,0.6121014492753624,0.612101449275362,0.145
tracker20.pth,16888,27600,0.6118840579710145,0.6118840579710145,0.22
tracker272.pth,16841,27600,0.6101811594202898,0.6101811594202898,0.1
tracker232.pth,16830,27600,0.6097826086956522,0.6097826086956517,0.185
tracker62.pth,16775,27600,0.6077898550724637,0.6077898550724641,0.185
tracker208.pth,16610,27600,0.6018115942028985,0.6018115942028985,0.155
tracker74.pth,16585,27600,0.6009057971014493,0.6009057971014492,0.125
tracker108.pth,16573,27600,0.6004710144927536,0.6004710144927531,0.155
tracker260.pth,16548,27600,0.5995652173913043,0.5995652173913044,0.19
tracker128.pth,16540,27600,0.5992753623188406,0.5992753623188406,0.145
tracker32.pth,16539,27600,0.5992391304347826,0.5992391304347826,0.025
tracker4.pth,16410,27600,0.5945652173913043,0.5945652173913045,0.24
tracker140.pth,16314,27600,0.5910869565217391,0.5910869565217388,0.085
tracker250.pth,16301,27600,0.5906159420289855,0.5906159420289856,0.23
tracker176.pth,16240,27600,0.5884057971014492,0.5884057971014491,0.02
tracker10.pth,16220,27600,0.5876811594202899,0.5876811594202899,0.205
tracker80.pth,16179,27600,0.586195652173913,0.5861956521739132,0.06
tracker230.pth,16156,27600,0.5853623188405798,0.5853623188405799,0.105
tracker212.pth,16154,27600,0.5852898550724638,0.5852898550724636,0.05
tracker184.pth,16139,27600,0.5847463768115942,0.584746376811594,0.085
tracker38.pth,16116,27600,0.5839130434782609,0.583913043478261,0.15
tracker248.pth,16095,27600,0.5831521739130435,0.5831521739130433,0.15
tracker116.pth,16057,27600,0.5817753623188405,0.5817753623188403,0.02
tracker168.pth,15994,27600,0.5794927536231884,0.5794927536231883,0.16
tracker162.pth,15993,27600,0.5794565217391304,0.5794565217391305,0.175
tracker30.pth,15971,27600,0.5786594202898551,0.5786594202898551,0.25
tracker136.pth,15948,27600,0.5778260869565217,0.5778260869565218,0.145
tracker148.pth,15948,27600,0.5778260869565217,0.5778260869565216,0.145
tracker254.pth,15946,27600,0.5777536231884058,0.5777536231884053,0.105
tracker264.pth,15934,27600,0.5773188405797102,0.5773188405797104,0.14
tracker48.pth,15911,27600,0.5764855072463768,0.5764855072463768,0.08
tracker50.pth,15878,27600,0.5752898550724638,0.5752898550724637,0.11
tracker220.pth,15765,27600,0.571195652173913,0.5711956521739137,0.09
tracker130.pth,15762,27600,0.5710869565217391,0.5710869565217389,0.245
tracker182.pth,15533,27600,0.5627898550724638,0.5627898550724638,0.205
tracker170.pth,15512,27600,0.5620289855072463,0.5620289855072462,0.105
tracker160.pth,15495,27600,0.5614130434782608,0.5614130434782607,0.105
tracker92.pth,15488,27600,0.5611594202898551,0.561159420289855,0.035
tracker12.pth,15477,27600,0.5607608695652174,0.5607608695652175,0.13
tracker276.pth,15430,27600,0.5590579710144927,0.5590579710144927,0.21
tracker178.pth,15403,27600,0.5580797101449275,0.5580797101449273,0.035
tracker216.pth,15391,27600,0.5576449275362318,0.557644927536232,0.115
tracker210.pth,15347,27600,0.5560507246376811,0.5560507246376813,0.08
tracker200.pth,15236,27600,0.5520289855072463,0.5520289855072462,0.045
tracker246.pth,15213,27600,0.5511956521739131,0.551195652173913,0.185
tracker142.pth,15136,27600,0.5484057971014493,0.5484057971014493,0.075
tracker138.pth,15126,27600,0.5480434782608695,0.5480434782608695,0.17
tracker104.pth,15098,27600,0.5470289855072463,0.5470289855072461,0.01
tracker180.pth,15094,27600,0.5468840579710145,0.5468840579710145,0.125
tracker144.pth,15090,27600,0.5467391304347826,0.5467391304347823,0.2
tracker72.pth,15069,27600,0.5459782608695652,0.5459782608695655,0.07
tracker242.pth,15050,27600,0.5452898550724637,0.5452898550724639,0.11
tracker164.pth,15017,27600,0.5440942028985507,0.5440942028985506,0.11
tracker82.pth,15015,27600,0.5440217391304348,0.5440217391304347,0.065
tracker68.pth,14914,27600,0.5403623188405797,0.5403623188405795,0.09
tracker88.pth,14828,27600,0.5372463768115942,0.5372463768115944,0.15
tracker266.pth,14762,27600,0.5348550724637681,0.534855072463768,0.06
tracker100.pth,14760,27600,0.5347826086956522,0.534782608695652,0.025
tracker16.pth,14757,27600,0.5346739130434782,0.534673913043478,0.125
tracker158.pth,14725,27600,0.5335144927536232,0.5335144927536232,0.12
tracker172.pth,14617,27600,0.5296014492753623,0.5296014492753621,0.085
tracker226.pth,14592,27600,0.528695652173913,0.5286956521739129,0.04
tracker206.pth,14556,27600,0.5273913043478261,0.5273913043478261,0.11
tracker174.pth,14542,27600,0.5268840579710145,0.5268840579710145,0.005
tracker76.pth,14536,27600,0.5266666666666666,0.5266666666666668,0.135
tracker274.pth,14517,27600,0.5259782608695652,0.5259782608695655,0.065
tracker236.pth,14478,27600,0.5245652173913044,0.5245652173913042,0.085
tracker42.pth,14379,27600,0.5209782608695652,0.5209782608695651,0.13
tracker222.pth,14292,27600,0.5178260869565218,0.5178260869565217,0.055
tracker96.pth,14235,27600,0.5157608695652174,0.5157608695652174,0.025
tracker218.pth,14083,27600,0.5102536231884058,0.5102536231884056,0.155
tracker70.pth,14026,27600,0.5081884057971015,0.5081884057971015,0.065
tracker94.pth,13929,27600,0.5046739130434783,0.5046739130434782,0.075
tracker238.pth,13821,27600,0.5007608695652174,0.5007608695652174,0.13
tracker44.pth,13780,27600,0.49927536231884057,0.49927536231884073,0.12
tracker124.pth,13775,27600,0.4990942028985507,0.49909420289855044,0.065
tracker202.pth,13760,27600,0.4985507246376812,0.49855072463768124,0.08
tracker132.pth,13583,27600,0.4921376811594203,0.49213768115942025,0.125
tracker84.pth,13564,27600,0.49144927536231886,0.4914492753623189,0.06
tracker40.pth,13508,27600,0.48942028985507247,0.4894202898550724,0.11
tracker18.pth,13402,27600,0.4855797101449275,0.4855797101449277,0.08
tracker134.pth,13400,27600,0.4855072463768116,0.4855072463768116,0.085
tracker78.pth,13353,27600,0.48380434782608694,0.48380434782608694,0.06
tracker214.pth,13337,27600,0.4832246376811594,0.48322463768115953,0.15
tracker234.pth,13212,27600,0.478695652173913,0.4786956521739131,0.05
tracker256.pth,13159,27600,0.4767753623188406,0.4767753623188407,0.09
tracker258.pth,13156,27600,0.4766666666666667,0.4766666666666668,0.03
tracker204.pth,13069,27600,0.4735144927536232,0.4735144927536233,0.105
tracker60.pth,12925,27600,0.4682971014492754,0.46829710144927517,0.0
tracker126.pth,12880,27600,0.4666666666666667,0.4666666666666665,0.09
tracker186.pth,12659,27600,0.45865942028985507,0.4586594202898552,0.13
tracker228.pth,12477,27600,0.45206521739130434,0.45206521739130434,0.025
tracker86.pth,12441,27600,0.4507608695652174,0.4507608695652175,0.07
tracker122.pth,12346,27600,0.44731884057971016,0.4473188405797103,0.075
tracker120.pth,11980,27600,0.4340579710144927,0.43405797101449284,0.02
tracker102.pth,11814,27600,0.4280434782608696,0.4280434782608695,0.05
tracker188.pth,10990,27600,0.39818840579710146,0.3981884057971015,0.11
tracker192.pth,10087,27600,0.3654710144927536,0.3654710144927537,0.07
tracker190.pth,9669,27600,0.35032608695652173,0.3503260869565217,0.055
tracker198.pth,9564,27600,0.34652173913043477,0.34652173913043466,0.015
tracker194.pth,8870,27600,0.3213768115942029,0.3213768115942029,0.02
tracker196.pth,7985,27600,0.28931159420289854,0.2893115942028986,0.025
tracker0.pth,7165,27600,0.25960144927536233,0.2596014492753624,0.005

=== Target Rankings ===
agent,wins,matches,overall_win_rate,average_opponent_win_rate,worst_opponent_win_rate
target113.pth,17636,27800,0.6343884892086331,0.6343884892086329,0.005
target161.pth,16604,27800,0.5972661870503597,0.5972661870503596,0.2
target45.pth,16206,27800,0.5829496402877697,0.5829496402877692,0.025
target57.pth,15803,27800,0.5684532374100719,0.5684532374100717,0.02
target143.pth,15778,27800,0.5675539568345324,0.5675539568345322,0.105
target17.pth,15749,27800,0.5665107913669065,0.5665107913669064,0.015
target111.pth,15719,27800,0.565431654676259,0.565431654676259,0.0
target5.pth,15640,27800,0.5625899280575539,0.5625899280575538,0.055
target155.pth,15534,27800,0.5587769784172661,0.558776978417266,0.075
target19.pth,15458,27800,0.5560431654676259,0.5560431654676258,0.185
target47.pth,15243,27800,0.5483093525179856,0.5483093525179857,0.1
target159.pth,15195,27800,0.5465827338129496,0.5465827338129495,0.16
target59.pth,15164,27800,0.5454676258992806,0.5454676258992807,0.125
target43.pth,15149,27800,0.5449280575539568,0.5449280575539571,0.1
target115.pth,14836,27800,0.5336690647482014,0.5336690647482012,0.05
target39.pth,14629,27800,0.5262230215827338,0.5262230215827337,0.12
target37.pth,14598,27800,0.5251079136690647,0.5251079136690647,0.06
target105.pth,14510,27800,0.5219424460431654,0.5219424460431651,0.015
target171.pth,14444,27800,0.519568345323741,0.519568345323741,0.095
target205.pth,14213,27800,0.5112589928057554,0.5112589928057554,0.165
target15.pth,14191,27800,0.5104676258992806,0.5104676258992806,0.055
target189.pth,13979,27800,0.5028417266187051,0.5028417266187049,0.17
target157.pth,13976,27800,0.5027338129496403,0.5027338129496403,0.065
target129.pth,13932,27800,0.5011510791366907,0.5011510791366905,0.01
target177.pth,13896,27800,0.49985611510791367,0.4998561151079134,0.125
target63.pth,13833,27800,0.497589928057554,0.4975899280575538,0.085
target175.pth,13810,27800,0.49676258992805755,0.4967625899280577,0.06
target173.pth,13796,27800,0.4962589928057554,0.4962589928057555,0.035
target127.pth,13769,27800,0.49528776978417266,0.49528776978417255,0.065
target55.pth,13739,27800,0.4942086330935252,0.49420863309352514,0.1
target35.pth,13693,27800,0.49255395683453235,0.4925539568345324,0.015
target207.pth,13662,27800,0.4914388489208633,0.4914388489208633,0.015
target151.pth,13657,27800,0.4912589928057554,0.49125899280575536,0.075
target145.pth,13592,27800,0.4889208633093525,0.48892086330935247,0.025
target103.pth,13555,27800,0.48758992805755397,0.4875899280575541,0.14
target81.pth,13489,27800,0.4852158273381295,0.48521582733812946,0.06
target165.pth,13283,27800,0.47780575539568343,0.4778057553956834,0.005
target41.pth,13282,27800,0.47776978417266186,0.477769784172662,0.045
target179.pth,13276,27800,0.4775539568345324,0.4775539568345322,0.14
target191.pth,13260,27800,0.47697841726618706,0.476978417266187,0.06
target163.pth,13166,27800,0.4735971223021583,0.47359712230215845,0.09
target269.pth,13166,27800,0.4735971223021583,0.47359712230215845,0.03
target255.pth,13124,27800,0.4720863309352518,0.47208633093525204,0.06
target53.pth,13070,27800,0.4701438848920863,0.4701438848920863,0.08
target83.pth,13050,27800,0.4694244604316547,0.46942446043165487,0.025
target7.pth,13016,27800,0.46820143884892085,0.46820143884892107,0.065
target91.pth,12989,27800,0.46723021582733815,0.4672302158273382,0.05
target141.pth,12960,27800,0.46618705035971225,0.4661870503597122,0.04
target51.pth,12920,27800,0.46474820143884893,0.464748201438849,0.07
target101.pth,12917,27800,0.46464028776978417,0.4646402877697842,0.08
target139.pth,12903,27800,0.46413669064748203,0.46413669064748214,0.035
target263.pth,12889,27800,0.46363309352517984,0.4636330935251799,0.06
target253.pth,12884,27800,0.46345323741007194,0.4634532374100718,0.03
target65.pth,12790,27800,0.46007194244604316,0.4600719424460431,0.045
target61.pth,12781,27800,0.4597482014388489,0.45974820143884904,0.005
target149.pth,12764,27800,0.459136690647482,0.45913669064748186,0.01
target273.pth,12705,27800,0.4570143884892086,0.45701438848920845,0.01
target23.pth,12698,27800,0.45676258992805757,0.4567625899280576,0.11
target169.pth,12623,27800,0.45406474820143883,0.4540647482014388,0.09
target153.pth,12611,27800,0.45363309352517983,0.45363309352517983,0.05
target131.pth,12542,27800,0.45115107913669067,0.45115107913669084,0.05
target99.pth,12535,27800,0.4508992805755396,0.4508992805755396,0.06
target197.pth,12523,27800,0.4504676258992806,0.4504676258992803,0.065
target95.pth,12520,27800,0.4503597122302158,0.450359712230216,0.13
target203.pth,12506,27800,0.4498561151079137,0.4498561151079136,0.095
target257.pth,12480,27800,0.4489208633093525,0.4489208633093524,0.05
target219.pth,12466,27800,0.44841726618705036,0.44841726618705047,0.0
target271.pth,12465,27800,0.4483812949640288,0.44838129496402895,0.085
target33.pth,12464,27800,0.4483453237410072,0.4483453237410071,0.09
target3.pth,12433,27800,0.44723021582733813,0.4472302158273383,0.025
target239.pth,12395,27800,0.445863309352518,0.445863309352518,0.04
target49.pth,12374,27800,0.44510791366906477,0.44510791366906466,0.05
target109.pth,12344,27800,0.44402877697841725,0.4440287769784171,0.07
target97.pth,12322,27800,0.44323741007194245,0.4432374100719424,0.055
target147.pth,12252,27800,0.44071942446043166,0.4407194244604317,0.025
target89.pth,12203,27800,0.4389568345323741,0.4389568345323743,0.045
target251.pth,12161,27800,0.43744604316546765,0.4374460431654678,0.1
target135.pth,12141,27800,0.436726618705036,0.43672661870503593,0.06
target275.pth,12033,27800,0.432841726618705,0.4328417266187049,0.105
target167.pth,12029,27800,0.4326978417266187,0.4326978417266187,0.115
target13.pth,11994,27800,0.4314388489208633,0.4314388489208634,0.05
target137.pth,11978,27800,0.430863309352518,0.4308633093525178,0.025
target199.pth,11927,27800,0.4290287769784173,0.4290287769784171,0.095
target241.pth,11916,27800,0.42863309352517986,0.4286330935251798,0.075
target21.pth,11879,27800,0.4273021582733813,0.4273021582733812,0.07
target133.pth,11857,27800,0.42651079136690645,0.4265107913669064,0.1
target93.pth,11838,27800,0.4258273381294964,0.4258273381294965,0.135
target125.pth,11782,27800,0.42381294964028776,0.4238129496402877,0.025
target181.pth,11749,27800,0.42262589928057553,0.4226258992805757,0.05
target107.pth,11685,27800,0.4203237410071942,0.4203237410071944,0.09
target85.pth,11633,27800,0.41845323741007195,0.4184532374100719,0.01
target247.pth,11614,27800,0.41776978417266186,0.4177697841726617,0.01
target29.pth,11510,27800,0.4140287769784173,0.41402877697841706,0.02
target31.pth,11467,27800,0.4124820143884892,0.41248201438848925,0.095
target73.pth,11445,27800,0.4116906474820144,0.41169064748201456,0.02
target187.pth,11409,27800,0.4103956834532374,0.41039568345323735,0.01
target249.pth,11319,27800,0.40715827338129496,0.407158273381295,0.065
target117.pth,11317,27800,0.4070863309352518,0.4070863309352517,0.015
target123.pth,11243,27800,0.4044244604316547,0.4044244604316548,0.1
target217.pth,11221,27800,0.40363309352517984,0.4036330935251799,0.06
target79.pth,11182,27800,0.40223021582733814,0.40223021582733826,0.055
target195.pth,11100,27800,0.39928057553956836,0.3992805755395685,0.03
target75.pth,10999,27800,0.3956474820143885,0.3956474820143886,0.015
target243.pth,10951,27800,0.3939208633093525,0.3939208633093524,0.05
target245.pth,10852,27800,0.3903597122302158,0.390359712230216,0.055
target221.pth,10793,27800,0.38823741007194246,0.3882374100719424,0.02
target265.pth,10736,27800,0.38618705035971224,0.3861870503597123,0.03
target209.pth,10725,27800,0.3857913669064748,0.3857913669064747,0.015
target9.pth,10713,27800,0.3853597122302158,0.3853597122302158,0.005
target237.pth,10689,27800,0.3844964028776978,0.38449640287769776,0.035
target87.pth,10667,27800,0.383705035971223,0.3837050359712229,0.025
target201.pth,10653,27800,0.3832014388489209,0.3832014388489208,0.02
target185.pth,10633,27800,0.3824820143884892,0.3824820143884893,0.065
target259.pth,10537,27800,0.37902877697841725,0.3790287769784173,0.05
target193.pth,10499,27800,0.3776618705035971,0.37766187050359706,0.015
target235.pth,10380,27800,0.3733812949640288,0.37338129496402883,0.0
target213.pth,9914,27800,0.3566187050359712,0.3566187050359714,0.0
target183.pth,9370,27800,0.33705035971223024,0.3370503597122303,0.015
target77.pth,9363,27800,0.33679856115107915,0.33679856115107903,0.03
target215.pth,9186,27800,0.330431654676259,0.33043165467625907,0.03
target121.pth,9168,27800,0.3297841726618705,0.32978417266187054,0.01
target69.pth,9157,27800,0.3293884892086331,0.32938848920863295,0.035
target227.pth,9092,27800,0.32705035971223023,0.3270503597122301,0.0
target229.pth,8926,27800,0.32107913669064747,0.3210791366906474,0.005
target71.pth,8889,27800,0.3197482014388489,0.3197482014388489,0.0
target1.pth,8502,27800,0.3058273381294964,0.3058273381294964,0.02
target67.pth,8469,27800,0.3046402877697842,0.30464028776978413,0.06
target261.pth,8399,27800,0.3021223021582734,0.30212230215827346,0.035
target119.pth,8279,27800,0.29780575539568344,0.2978057553956835,0.05
target267.pth,8254,27800,0.2969064748201439,0.2969064748201438,0.005
target27.pth,7680,27800,0.2762589928057554,0.2762589928057555,0.0
target25.pth,7641,27800,0.2748561151079137,0.2748561151079139,0.03
target211.pth,7249,27800,0.26075539568345324,0.26075539568345335,0.01
target11.pth,7164,27800,0.2576978417266187,0.25769784172661864,0.0
target233.pth,6888,27800,0.24776978417266188,0.24776978417266174,0.0
target231.pth,6506,27800,0.23402877697841726,0.2340287769784173,0.0
target225.pth,6347,27800,0.22830935251798562,0.22830935251798556,0.0
target223.pth,5965,27800,0.214568345323741,0.21456834532374103,0.0
