2025-04-26 18:11:24,073 INFO    MainThread:49176 [wandb_setup.py:_flush():67] Current SDK version is 0.19.8
2025-04-26 18:11:24,074 INFO    MainThread:49176 [wandb_setup.py:_flush():67] Configure stats pid to 49176
2025-04-26 18:11:24,074 INFO    MainThread:49176 [wandb_setup.py:_flush():67] Loading settings from /home/ace/.config/wandb/settings
2025-04-26 18:11:24,074 INFO    MainThread:49176 [wandb_setup.py:_flush():67] Loading settings from /home/ace/miniconda3/envs/lnenv/lib/python3.8/site-packages/gym/envs/user/protect/wandb/settings
2025-04-26 18:11:24,074 INFO    MainThread:49176 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-26 18:11:24,074 INFO    MainThread:49176 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/ace/miniconda3/envs/lnenv/lib/python3.8/site-packages/gym/envs/user/protect/wandb/run-20250426_181124-1_tracker/logs/debug.log
2025-04-26 18:11:24,074 INFO    MainThread:49176 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/ace/miniconda3/envs/lnenv/lib/python3.8/site-packages/gym/envs/user/protect/wandb/run-20250426_181124-1_tracker/logs/debug-internal.log
2025-04-26 18:11:24,077 INFO    MainThread:49176 [wandb_init.py:init():761] calling init triggers
2025-04-26 18:11:24,077 INFO    MainThread:49176 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-26 18:11:24,077 INFO    MainThread:49176 [wandb_init.py:init():784] starting backend
2025-04-26 18:11:24,077 INFO    MainThread:49176 [wandb_init.py:init():788] sending inform_init request
2025-04-26 18:11:24,109 INFO    MainThread:49176 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-26 18:11:24,109 INFO    MainThread:49176 [wandb_init.py:init():798] backend started and connected
2025-04-26 18:11:24,112 INFO    MainThread:49176 [wandb_init.py:init():891] updated telemetry
2025-04-26 18:11:24,127 INFO    MainThread:49176 [wandb_init.py:init():915] communicating run to backend with 90.0 second timeout
2025-04-26 18:11:28,357 INFO    MainThread:49176 [wandb_init.py:init():985] run resumed
2025-04-26 18:11:28,358 INFO    MainThread:49176 [wandb_init.py:init():990] starting run threads in backend
2025-04-26 18:11:28,516 INFO    MainThread:49176 [wandb_run.py:_console_start():2375] atexit reg
2025-04-26 18:11:28,517 INFO    MainThread:49176 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-26 18:11:28,517 INFO    MainThread:49176 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-26 18:11:28,517 INFO    MainThread:49176 [wandb_run.py:_redirect():2315] Redirects installed.
2025-04-26 18:11:28,520 INFO    MainThread:49176 [wandb_init.py:init():1032] run started, returning control to user process
2025-04-26 18:11:52,977 INFO    MainThread:49176 [wandb_run.py:_finish():2112] finishing run huhugiao-bit/protect_vs_invade/1_tracker
2025-04-26 18:11:52,977 INFO    MainThread:49176 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-04-26 18:11:52,977 INFO    MainThread:49176 [wandb_run.py:_restore():2322] restore
2025-04-26 18:11:52,977 INFO    MainThread:49176 [wandb_run.py:_restore():2328] restore done
2025-04-26 18:11:55,668 INFO    MainThread:49176 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-04-26 18:11:55,668 INFO    MainThread:49176 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-04-26 18:11:55,668 INFO    MainThread:49176 [wandb_run.py:_footer_sync_info():3917] logging synced files
