episode_id,steps,reward,tracker_caught_target,target_reached_base,tracker_type,target_type
0,53,19.692293227785832,True,False,rule,expert_rule
1,41,17.264339678092366,True,False,rule,expert_rule
2,42,18.24108714422672,True,False,rule,expert_rule
3,41,17.92346740120982,True,False,rule,expert_rule
4,53,19.692293227785832,True,False,rule,expert_rule
5,41,17.264339678092366,True,False,rule,expert_rule
6,42,18.24108714422672,True,False,rule,expert_rule
7,41,17.92346740120982,True,False,rule,expert_rule
8,53,19.692293227785832,True,False,rule,expert_rule
9,41,17.264339678092366,True,False,rule,expert_rule
10,42,18.24108714422672,True,False,rule,expert_rule
11,41,17.92346740120982,True,False,rule,expert_rule
12,53,19.692293227785832,True,False,rule,expert_rule
13,41,17.264339678092366,True,False,rule,expert_rule
14,42,18.24108714422672,True,False,rule,expert_rule
15,41,17.92346740120982,True,False,rule,expert_rule
16,53,19.692293227785832,True,False,rule,expert_rule
17,41,17.264339678092366,True,False,rule,expert_rule
18,42,18.24108714422672,True,False,rule,expert_rule
19,41,17.92346740120982,True,False,rule,expert_rule
20,53,19.692293227785832,True,False,rule,expert_rule
21,41,17.264339678092366,True,False,rule,expert_rule
22,42,18.24108714422672,True,False,rule,expert_rule
23,41,17.92346740120982,True,False,rule,expert_rule
24,53,19.692293227785832,True,False,rule,expert_rule
25,41,17.264339678092366,True,False,rule,expert_rule
26,42,18.24108714422672,True,False,rule,expert_rule
27,41,17.92346740120982,True,False,rule,expert_rule
28,53,19.692293227785832,True,False,rule,expert_rule
29,41,17.264339678092366,True,False,rule,expert_rule
30,42,18.24108714422672,True,False,rule,expert_rule
31,41,17.92346740120982,True,False,rule,expert_rule
32,56,18.854727837384484,True,False,rule,expert_rule
33,53,19.535517055442153,True,False,rule,expert_rule
34,39,17.50915834718762,True,False,rule,expert_rule
35,43,17.775621982636103,True,False,rule,expert_rule
36,56,18.854727837384484,True,False,rule,expert_rule
37,53,19.535517055442153,True,False,rule,expert_rule
38,39,17.50915834718762,True,False,rule,expert_rule
39,43,17.775621982636103,True,False,rule,expert_rule
40,56,18.854727837384484,True,False,rule,expert_rule
41,53,19.535517055442153,True,False,rule,expert_rule
42,39,17.50915834718762,True,False,rule,expert_rule
43,43,17.775621982636103,True,False,rule,expert_rule
44,56,18.854727837384484,True,False,rule,expert_rule
45,53,19.535517055442153,True,False,rule,expert_rule
46,39,17.50915834718762,True,False,rule,expert_rule
47,43,17.775621982636103,True,False,rule,expert_rule
48,46,18.301666696435877,True,False,rule,expert_rule
49,81,-24.11248480617665,False,True,rule,expert_rule
50,52,19.059591593980247,True,False,rule,expert_rule
51,40,17.31383271140189,True,False,rule,expert_rule
52,46,18.301666696435877,True,False,rule,expert_rule
53,81,-24.11248480617665,False,True,rule,expert_rule
54,52,19.059591593980247,True,False,rule,expert_rule
55,40,17.31383271140189,True,False,rule,expert_rule
56,46,18.301666696435877,True,False,rule,expert_rule
57,81,-24.11248480617665,False,True,rule,expert_rule
58,52,19.059591593980247,True,False,rule,expert_rule
59,40,17.31383271140189,True,False,rule,expert_rule
60,69,19.121413713234556,True,False,rule,expert_rule
61,42,18.322537435798985,True,False,rule,expert_rule
62,51,19.066401346258072,True,False,rule,expert_rule
63,53,19.112014959063025,True,False,rule,expert_rule
64,69,19.121413713234556,True,False,rule,expert_rule
65,42,18.322537435798985,True,False,rule,expert_rule
66,51,19.066401346258072,True,False,rule,expert_rule
67,53,19.112014959063025,True,False,rule,expert_rule
68,41,17.67580932058957,True,False,rule,expert_rule
69,51,19.691843935509127,True,False,rule,expert_rule
70,47,18.60070946325639,True,False,rule,expert_rule
71,47,18.73012967577275,True,False,rule,expert_rule
72,56,18.854727837384484,True,False,rule,expert_rule
73,53,19.535517055442153,True,False,rule,expert_rule
74,39,17.50915834718762,True,False,rule,expert_rule
75,43,17.775621982636103,True,False,rule,expert_rule
76,56,18.854727837384484,True,False,rule,expert_rule
77,53,19.535517055442153,True,False,rule,expert_rule
78,39,17.50915834718762,True,False,rule,expert_rule
79,43,17.775621982636103,True,False,rule,expert_rule
80,46,18.301666696435877,True,False,rule,expert_rule
81,81,-24.11248480617665,False,True,rule,expert_rule
82,52,19.059591593980247,True,False,rule,expert_rule
83,40,17.31383271140189,True,False,rule,expert_rule
84,46,18.301666696435877,True,False,rule,expert_rule
85,81,-24.11248480617665,False,True,rule,expert_rule
86,52,19.059591593980247,True,False,rule,expert_rule
87,40,17.31383271140189,True,False,rule,expert_rule
88,69,19.121413713234556,True,False,rule,expert_rule
89,42,18.322537435798985,True,False,rule,expert_rule
90,51,19.066401346258072,True,False,rule,expert_rule
91,53,19.112014959063025,True,False,rule,expert_rule
92,44,17.914619539121,True,False,rule,expert_rule
93,34,17.646350916061444,True,False,rule,expert_rule
94,45,18.40062943826128,True,False,rule,expert_rule
95,65,14.741900997717156,True,False,rule,expert_rule
96,35,17.262045998022714,True,False,rule,expert_rule
97,36,17.19428058419458,True,False,rule,expert_rule
98,49,19.61378528117537,True,False,rule,expert_rule
99,48,18.222559633689063,True,False,rule,expert_rule
